tweet_id,text,Label
5.70E+17,@united an efficient layout at kiosks/bag drop lines would help as there is no definition to space. Additional friendly and helpful staff,-1
5.70E+17,@AmericanAir 3198 to AEX. Is it still going?,1
5.69E+17,@USAirways only sympathy she offered was holding a reservation until Monday night. That's pretty awesome if you ask me...,1
5.69E+17,@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback,-1
5.68E+17,"@JetBlue we have just landed, thank you anyway. Btw, flight staff on flight 654 were wonderful despite their full day and heavy load.",1
5.70E+17,@AmericanAir any idea why flight 5392 from HSV to DFW tomorrow cancelled about 45 minutes ago?,1
5.70E+17,"@USAirways US 728. Refuel; we've sat for so long. Pilot announces where the truck is. ""Look, over there to the left!"" Actual announcement.",-1
5.70E+17,@AmericanAir @Eleonora7 good luck I've been waiting a week,-1
5.68E+17,@USAirways strikes again. @emilylyonss  I strongly suggest you live tweet your ordeal. Their media team appreciates the updates _ôÖ_,-1
5.70E+17,@united and that it would be sent on the next flight to Hayden/steamboat (HDN) from Denver. So I'm hoping its on there,1
5.69E+17,"@USAirways flight 705 FRA-CAT did some odd zig-zagging movements over Frankfurt...
Is everything ok?",1
5.70E+17,"@AmericanAir I sent you a DM, can you please help.",1
5.68E+17,@SouthwestAir de-icing is important!,1
5.68E+17,"@united 374 ORD to ROC. Fam came to see me at SNA. I'm a member, so is my dad. He used his miles for them.",1
5.70E+17,@JetBlue - Hopefully that will help someone in the future. Would there have been a different procedure if I had discovered the theft sooner?,1
5.70E+17,@JetBlue never had an airline refuse to help sit parents with tiny kids. But this guy is willing to do it. #JetBlue http://t.co/MzZfGqfHu2,-1
5.70E+17,@AmericanAir me because it might not be so urgent for you but it really is for me. (5),-1
5.70E+17,"@USAirways And, the helpful employee who changed her boarding zone so that she would have space for her pump is now being disciplined #fail",-1
5.70E+17,"@SouthwestAir @HDsportsguy yes I did. I hope for an update soon, need those clothes for a meeting tomorrow.",1
5.69E+17,@SouthwestAir :( Thanks for the opportunity...,1
5.68E+17,@JetBlue just learning about your famous apology in social media marketing. Is Twitter an asset for Jet Blue now? @PhD_Mama_,1
5.70E+17,@AmericanAir Thanks for doing that but now it's telling me to go to the airport and check in with an agent-what's up? http://t.co/PfseNJk5Pw,1
5.70E+17,@VirginAmerica why is flight 345 redirected?,1
5.68E+17,"@united Hi, booked a flight yesterday and received an email w/ confirmation number but today I got this error ""no active flight segments""",1
5.69E+17,"@united since I have an international connection at 9am, I'm hoping for the same thing!",1
5.69E+17,@JetBlue thanks! I only loose 'em at airports...1st time we found it. I think @fitbit needs to make flexes that stay on when carrying bags!,1
5.68E+17,"@SouthwestAir your social media team just said ""sorry"". Thankfully submitting a complaint got resolution from an amazing rep who called.",1
5.68E+17,@united Confirmation number: NJV4BP - All I need is email confirmation of flight from NYC - SFO Feb 4,1
5.68E+17,@JetBlue last week I bought a plane ticket round trip to FL &amp; just 4 fun I look at the price of them today and they went down! #nothappy,-1
5.70E+17,@SouthwestAir Thanks! Sent a DM to you. Let me know if oyu need any additional information.,1
5.68E+17,@SouthwestAir Yay! And are dependents with ID (wife children) eligible to use this discount too? How do you use it over the phone/inperson?,1
5.70E+17,@SouthwestAir didn't realize no clothes until at hotel - suggestions?,1
5.68E+17,@united patiently drinking and tweeting about my experience,-1
5.70E+17,@JetBlue our flight out no Tv. Now our flight back not seated together. B6 620. Maybe our fault still no fun.,-1
5.68E+17,@JetBlue should've been on one of your flights instead... @SouthwestAir has now lost our bags to add insult to injury,-1
5.70E+17,@JetBlue where is it coming from? I thought Tampa?,1
5.68E+17,1/2 @united Just be honest with your customers. The new seats are designed to fit more rows on the plane. More rows = more money.,-1
5.70E+17,"@USAirways @marvinatorsb thnk you for response,all flights were full, couldn't get out until tmrw, had to cancel and go w/other airline",1
5.68E+17,@united I will be stunned if my bags are in Hartford with me.  The ORD ground crew only had an hour to move my bags 200 yards,-1
5.70E+17,@united thanks for the effort. I can get the earliest. Though I will make a complaint for a refund as I am losing one business day tomorrow,1
5.69E+17,"@SouthwestAir nvm, gate said they're holding connections. Thanks for quick response!",1
5.70E+17,"@AmericanAir Flight for tomorrow has already been cancelled, what do I do now?",1
5.70E+17,äóì@JetBlue: Our fleet's on fleek. http://t.co/tLGoihqkvSäóù _ôÖê make it stop.,-1
5.69E+17,.@united Nope - had to rebook through Houston so I could get to Amarillo before 11pm. Stuck in SFO for four hours.,-1
5.70E+17,"@united @lpdstock tweet bots obviously don't get sarcasm, making computers more and more like real people.",1
5.70E+17,"@united Kewl. Will also let them know the overhead bin over my row was ""Inop"". I love a good abbreve.",-1
5.69E+17,"@SouthwestAir sitting in Baltimore. Finish taxi and approved to takeoff. Oops, not enough fuel. #Fail #45minflight #been3hours",-1
5.70E+17,@AmericanAir hi we have lost and found solution we want to offer for free to assist with contacting people when items are found,1
5.70E+17,@SouthwestAir Do you promise to not unfollow me? _ôÖ_,1
5.68E+17,@SouthwestAir no flights to HRL :( is this a limited route?,-1
5.70E+17,@united they helped me at the baggage service desk.  Said bc TSA screening was down in FLL not all bags made it but bag will be in EWR @ 12,1
5.70E+17,äóì@JetBlue: Our fleet's on fleek. http://t.co/Hez4jk4ZsKäóù ~huh?,1
5.69E+17,@USAirways still just sitting here. nobody has said anything. What's up?,-1
5.68E+17,@SouthwestAir hilarious flight attendants on Vegas to Detroit tonight http://t.co/nw7vx7DGMF,1
5.68E+17,@united have reported it.  Still in Istanbul at the moment apparently.  On the other plane haha.  Hats off to the pilot!,1
5.70E+17,"@USAirways Well, that's a problem considering I need to book a flight tonight for this weekend... is there anything you can do?",-1
5.68E+17,@united right... Are you guys charging for the air we breathe next?,-1
5.68E+17,@SouthwestAir hot stewardess flipped me off,1
5.70E+17,@USAirways now U horrible people say you have no where for her to sleep?,-1
5.70E+17,@AmericanAir why is raleigh not on the updated southern states advisory???,-1
5.69E+17,".@JetBlue Wish you would make Austin, TX a hub. Missing you as my äóìonlyäóù airline for all my biz travel since I moved from BOS. :(",1
5.69E+17,"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY cancelled?",1
5.70E+17,@AmericanAir the status on my itinerary says on request in red. What's that mean?,1
5.70E+17,@JetBlue @weepysweetmonty i heard youre planning on letting people fly in the overhead compartments. why would you do that?,-1
5.68E+17,@SouthwestAir Trying to add my dog on the flight but can't get through.,1
5.70E+17,@AmericanAir @cheerUPDATES So you're saying the call center is understaffed?,1
5.70E+17,@SouthwestAir my bday was yesterday and my girl gave birth to my first born and I couldn't get a courtesy flight change from Lynn... THANKS!,-1
5.68E+17,@united I locked myself out of my account and needed access to book a flight.,1
5.69E+17,@JetBlue can you give me an update on flight 1684 MCO-&gt;JFK? They're saying mechanical issues but will not disclose what they are...,1
5.70E+17,@AmericanAir my flight out of TYR tomorrow was canceled due to weather. How long until a rebook?,1
5.70E+17,@AmericanAir At what e-mail adress can I send your CEO Mr. Doug Parker a letter that he hopefully reads?,1
5.69E+17,"@SouthwestAir cool the plane you said is ours that just left the terminal for a diff city? She a cold betch for ""flying the friendly skies""",-1
5.69E+17,"@united considering I'm now stuck in Newark with virtually sleep in 30+ hours, I doubt it :/ hope car rentals are available",-1
5.68E+17,@JetBlue well lucky I only fly JB..I guess I would be even more squished on any other airline _ôÖ_,-1
5.68E+17,@united a report was filed with the airport police on 11th and 12th February-I have the police case number if required,1
5.70E+17,@AmericanAir thank you for quick responses.   #aa usually has fantastic customer service. That's why I was so shocked when it wasn't there,1
5.68E+17,@SouthwestAir Yes I can. But you guys should get your act together.,-1
5.70E+17,@SouthwestAir making me miss #TheBachelor right now #wah,-1
5.68E+17,"@united here I was thinking how I could say so many nice things after getting upgraded, but then you delayed my flight... It's ok!",1
5.68E+17,"@SouthwestAir no, thanks. I think we have it straight!",1
5.68E+17,@USAirways let's say it's directly correlated to the chance of a replacement case. I know which would cost the airline less!,1
5.68E+17,@SouthwestAir I sent you my conf number yesterday.,1
5.68E+17,@united I sent you a dm with my file reference number.. I just want to know if someone has located my bag even if it's not here yet.,-1
5.68E+17,@SouthwestAir good to know NOW!  Three sets of travelers in just 20 mins standing here waiting for mins to pass by.,-1
5.68E+17,@USAirways 657. My daughter Candice and I are together with her baby.,1
5.69E+17,@united let me assure you my travel time is 4h2m not 5h2m #timezones #accuratetraveltimes #3rdtimethishashappened http://t.co/e0C9bI09cf,-1
5.70E+17,@JetBlue apparently the plane was delayed coming up from San Juan. Monsoon there today?,1
5.70E+17,@SouthwestAir  I USED to always fly Southwest.,-1
5.68E+17,"@JetBlue What about if I booked it through Orbitz? My email is correct, but there's a middle party.",1
5.70E+17,@AmericanAir No. It does. You could not be more wrong. http://t.co/66NXZhBbMT,-1
5.70E+17,"@AmericanAir  I was told it would be emailed to me, but I haven't received anything yet. How can I follow-up?",1
5.68E+17,@SouthwestAir or you could send me a DM.,1
5.69E+17,".@united just curious why you'd board a flight without a pilot. Seems crucial to the flight process, no?",-1
5.70E+17,"@USAirways  - I had 20,748 miles in  my account and was informed I'd forfeit them bc of 33 months of inactivity - I",-1
5.70E+17,@USAirways @AmericanAir 3 hours on hold got rebooked on a new flight yesterday. I asked for a new itinerary/confirmation email to be sent,-1
5.70E+17,"&lt;3 &lt;3 RT @SouthwestAir! @danihampton Sorry to hear about the WiFi connection, Dani. Please DM us your conf # so we can help you. Thanks!",1
5.69E+17,@SouthwestAir No thanks. After those 25+ minutes someone did eventually help us and took care of it.,1
5.69E+17,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!,1
5.68E+17,@USAirways phone support rebooked but orig flt was late. Made it!,1
5.70E+17,@SouthwestAir my ticket was booked 1/27 to CUN. Does the arrival time reflect that CUN is now on EST time?,1
5.70E+17,@AmericanAir ok. Pilots are looking for agents  - they jumped out / FLT 5350 #DFW / this is crazy,-1
5.69E+17,@united need assistance. Line is out the door and travelling with 3 kids.,1
5.70E+17,@JetBlue if my flight was delayed can I show up at the airport with the appropriate amount of time for the delay or do I have to go on time?,1
5.70E+17,@USAirways I'm glad @Beamske retweeted otherwise you would have to ignore the numerous tweets I sent. You all are fucking amazing,1
5.70E+17,"@united I understand, but it's tough when there is no way to get to the airport w/o serious risk of an accident. It's a steep price.",1
5.70E+17,@USAirways You should be prepared for Weather. All I want to do is find out if I can take train to PHL to catch my connection.,-1
5.70E+17,"@SouthwestAir that was supposed to say ""boo"" not book. booo.",1
5.70E+17,"@AmericanAir know that I could use that for a flight into Canada.  By they time they figured it out, it was too late to check our bags",-1
5.69E+17,@united  No first class passenger should have to pay for inflight wifi.,-1
5.69E+17,@united I am on 1528 and my connecting flight is 909,1
5.70E+17,@AmericanAir im still on hold...,-1
5.70E+17,Who Okay'd this?!?! RT @JetBlue Our fleet's on fleek. http://t.co/knUVuOVhub,-1
5.69E+17,@SouthwestAir Deborah helped me_ôÍÅ,1
5.70E+17,@united landed in Boston at 9 last night.  The 15 hours of traveling was rough tho.,1
5.70E+17,@AmericanAir right on cue with the delays_ôïë,-1
5.68E+17,@JetBlue ticket issued whilst delivering your customers.,1
5.68E+17,@united Learn to hold connections. They texted me there is another flight later - my connection hasn't left and were pulling into the gate,-1
5.68E+17,@USAirways would be more pleased if you reassess your business practices.  Goal should be to have passengers on plane as little as possible,-1
5.69E+17,@VirginAmerica Sent a couple messages to the email you provided but to no avail. Will try again next year. Cheers.,1
5.70E+17,@united unfortunately still on the Tarmac at @fly2ohare and definitely missing my ride from @flypdx #GonnaBeALongNight,-1
5.70E+17,"@SouthwestAir It was never really ""lost"" it was put on another flight WITH my knowledge we just weren't sure what flight but I have it - TY!",1
5.69E+17,@JetBlue flying to Denver March 1st and my flight itenary keeps getting changed what the heck...booked the trip 3 months ago,-1
5.69E+17,@SouthwestAir sent,1
5.70E+17,_ôÖ©_ôÖ©_ôÖ©äóì@JetBlue: Our fleet's on fleek. http://t.co/BBHTlZgH2Cäóù,1
5.70E+17,@USAirways churn rate increasing by the second,-1
5.70E+17,".@JetBlue Navigating through 2 rebooks due to flu &amp; ice to visit my Mother.  Your CS reps have been so very helpful, patient and friendly.",1
5.69E+17,@SouthwestAir Luvin me some flights today!! Don't change!!  And please add Paypal as payment option!!!,1
5.70E+17,@AmericanAir really appreciate the great customer service... One of your service agents just hung up on me when asking legitimate questions,-1
5.69E+17,@united hello I am flying first class and am behind 20 people on zone 1!!!!!  Pls pass on to app dept - you should board 1st class first,-1
5.69E+17,@united Will do! Thanks!,1
5.69E+17,@USAirways any word on whether or not flight 1971 from Seattle to Charlotte will have connections held? Or...,-1
5.68E+17,@JetBlue so I don't know confirmation number or the names of the flight attendants and supervisor,1
5.70E+17,@AmericanAir this is all i gotta say to y'all &amp; your staff... for real http://t.co/rKPRxTGvfL,1
5.68E+17,"@united rebooking would not have made me reach on time for my meeting. Also didn't wanna take a chance, Booked myself on @etihad instead",1
5.68E+17,@JetBlue the gate agent said our original plane got de-icing fluid in the engine that created a short so they took the plane out of service,1
5.68E+17,@united 16 days for one flight and 8 for the other (roundtrip).,1
5.70E+17,@united BUT you have received confirmation via email that you are confirmed and ticketed on this flight.,1
5.69E+17,@USAirways - delayed 1851. Need an extra 5 min to make 1769. Would appreciate a little help again this week.,1
5.70E+17,@USAirways shout out to Cathy at the Vegas airport check-in for hooking us up!,1
5.70E+17,@AmericanAir don't worry you won't steal my money again,-1
5.70E+17,@JetBlue Pittsburgh,1
5.70E+17,"@vanessaannz seriously, you hate @AmericanAir since they can't accommodate you due to inclemental  weather disruptions? lol, very funny",1
5.69E+17,@united Booked 11 tix 1 month ago and now its about $157 CHEAPER and customer service was useless. What's up with that???,-1
5.70E+17,"@AmericanAir flight 1181 out of Vegas to DFW. Cancelled Sunday and Monday, no whammie today!",-1
5.70E+17,Haha! @JetBlue: Our fleet's on fleek. http://t.co/KmaNLdQbh4äóù,1
5.68E+17,"@JetBlue Been dealing with a cancelled flight since last night &amp; was booked to a 6:15 flight,wouldve at least liked to see Ella perform lol",-1
5.70E+17,@united In the process of recovering their car rental - condo rental $ in Florida. They called #United for an alternate flight #NOANSWER,-1
5.69E+17,"@united as a million miler with UA, and flying almost every week I observe gate and flight crews committed to good operations",1
5.69E+17,@USAirways Can't wait for the trip. Thanks for getting me there!,1
5.70E+17,@SouthwestAir arrangements to reimburse me for the rental I had to get?,1
5.69E+17,@SouthwestAir been on hold for 20 mins to cancel my reservation. Can you assist?,-1
5.69E+17,@united Hello we are doing a world record attempt on the amount of ball point pens in a collection please could you help with a pen?,1
5.69E+17,@JetBlue will I be compensated for delays or cancellation?,1
5.70E+17,@SouthwestAir I would like to ask that his bags be picked up at PIT &amp; taken to his hotel by the airport. Will someone contact me,1
5.70E+17,@USAirways your people are kind and hardworking the infrastructure you have given them is horrid #massivefail #failphone #fail,-1
5.69E+17,@SouthwestAir when will airfare be available through December of this year? I have 2 major trips coming up and I'm anxious to book them!,1
5.70E+17,@united okay ase24766m. Find our luggage.,-1
5.69E+17,@USAirways thanks for overbooking first class and automatically downgrading my upgrade 3 min before boarding. #ffstatusdontmatter #thenewaa,-1
5.70E+17,@SouthwestAir my flight continues through to Vegas after my stop. Don't be upset if a stowaway.,1
5.69E+17,@united all 4 of us are on standby in Houston tomorrow for flights to Calgary. If you could get us on one or two of those that would help,1
5.70E+17,"@united we were told when we checked in, as soon as we were allowed to, that there are no other seats available on the plane except middle.",1
5.70E+17,@AmericanAir @USAirways So who do I need to talk to to ensure the statement is sent to my bank so I can get the credit for the charges?,1
5.70E+17,@AmericanAir you set a schedule try and keep it !!! #AAALWAYSLATE,-1
5.69E+17,@USAirways I'm glad too. But I should not have to spend an hour to try and track down the basic information that you already have available.,-1
5.69E+17,@SouthwestAir needs 2 make me whole Used my tkt back n PHX due 2 rude SNA agent Jacquie Plitt flew @USAirways 2 CABO http://t.co/QxWW1p09a0,-1
5.70E+17,@united we needed to be at steamboat for a meeting by 3pm so we took a shuttle. The United customer service people said the bag would be on,1
5.68E+17,"@VirginAmerica I have 2d and 3d embossed badges and patches superior to the ones you are currently using. 
http://t.co/3fq3XElbOn",-1
5.70E+17,@USAirways my in-laws flight canceled 4 tonight. U auto rebooked 4 flight on Tuesday that doesn't work. Can you help rebooking them?,1
5.69E+17,@United can you let us out of the gate now. UA1157,-1
5.70E+17,"@united can I get on a stand by list from ASE to ORD? I'm the only poor person in Aspen, that's why I'm asking for standby on twitter.",1
5.68E+17,"@united Thank you for the speedy response! I figured it may be something of that nature. You guys and your ""fine print,"" haha",1
5.69E+17,"@USAirways but don't worry! They found a hotel, it's only 45min away. I got there around 11:30pm, no problem.",-1
5.70E+17,@AmericanAir can we get a status update on flight 1457? Are we going to make it home tonight...?,1
5.70E+17,"@united He needs to get to home the 24th, they're telling him it'll be the 25th @ night. Is there compensation or anything that can be done?",-1
5.70E+17,@USairways E190 lands without nose gear in Houston - @Flightglobal http://t.co/Yf9NhMwyFF,-1
5.70E+17,@AmericanAir My flight tomorrow from SLC to DFW AA304 canceled. Can you help me get there?,1
5.70E+17,@AmericanAir #2298. Everyone else  was outstanding.,1
5.69E+17,"@united Aw, thanks for the kind words. Totally makes these extra 6 hours sitting in an airport SOOOO much better.",1
5.70E+17,@AmericanAir what's the status of flight 3494 XNA to DFW. I'm getting different reports?,1
5.69E+17,@united love being told you would issue a refund when you couldn't get us out of the way of a hurricane to have it denied,-1
5.68E+17,@USAirways 502 M-phx Im still on The plane waiting And waiting,-1
5.70E+17,@AmericanAir Is my friends flight 386 from JAX to DFW canceled?,1
5.70E+17,@united received hotel but no food.  Also email for 3750 miles.  Last trip had 3 hr delay and 5000 miles - so less for cancellation?,-1
5.70E+17,"@AmericanAir 
I still think American Airlines is great...I would just like to be treated better. Loyal customers first, right?",-1
5.68E+17,"@USAirways us2118
My wife in Boston says no snow right now.",1
5.70E+17,"@AmericanAir we have been rebooked due to weather, but need to change our reservation and fly on the 24th, instead of the 23rd.",1
5.70E+17,@AmericanAir Can you provide guidance on how I should work with them to resolve the issue,1
5.68E+17,@JetBlue Thanks for the FB. message telling me I will have to wait between 1-3 days.  I'm waiting.,-1
5.70E+17,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,1
5.68E+17,@SouthwestAir I'm trying to get home to Nashville. I've been stuck in Dallas 2 days will my flight get out in the morning,-1
5.70E+17,@SouthwestAir hooking us up and getting us to Tampa after our flight was cancelled this morning #grateful #businesstrip,1
5.69E+17,@JetBlue BOS to DCA 1098 at 7:16 pm.,1
5.70E+17,@AmericanAir anything in particular I should ask for.   Will they want me to document my mileage plus status!,1
5.69E+17,@united UA1023 sitting on Tarmac at ORD when there are visibly gates open. Reassign our gate.,-1
5.69E+17,"@united are you looking for European Flight attendants for Paris or Frankfurt?
Best, 
Fabrice",1
5.69E+17,@SouthwestAir it says I can't because my flight is in progress.,1
5.70E+17,@AmericanAir we have 3 more passengers with me   There are two more reservation numbers,1
5.70E+17,@AmericanAir do you guys have wifi on international flights?,1
5.69E+17,@united no wheelchairs,1
5.69E+17,@united Finally I get the right response. United must check this issue. UA 1514 EWR to PUJ on Friday 02/20/15.,-1
5.70E+17,@SouthwestAir can you tell me why you cancelled the flight vs delay,1
5.70E+17,"@USAirways  I need to email customer service for help and a question, can you please provide the email address?",1
5.68E+17,"@united really hoping to get some help here.  On my 5th attempt to get a resolution, and lost count of transfers.  help please! #mileageplus",-1
5.69E+17,@united no I don't. Spoke with baggage contact at 1-800 number. Said they will try to get bags to stay at IAD for pick up tmrw,1
5.69E+17,@united an update on flight 5979 would be great!,1
5.70E+17,@SouthwestAir Supposed to take off almost 2 hours ago....#vacationfail #frozenwater? #gettingimpatient #theycouldatleastofferfreebooze,-1
5.70E+17,"@AmericanAir @manuel_c ""here for you"" as in, yeah, we'll tweet platitudes at you so you'll think our Twitter bot cares? Or....",-1
5.69E+17,@USAirways Merging AA and DividendMiles yield an error. What are the _exact_ steps to navigate the phone menu? All I get is a computer.,1
5.69E+17,@united lets see of we can do this today! Hoping for an on-time dept #dullestostatecollege #runningonthreehoursofsleep #delayedovernight,-1
5.69E+17,@united you get a 2nd chance today as I fly to A'dam. Let's see if you can redeem yourself after that last horrendous trip to the states.,-1
5.70E+17,@AmericanAir when will the merging of miles between you and @USAirways be complete? Wasn't it this month?,1
5.68E+17,@SouthwestAir we have to stay in Chicago overnight and meet up with our bags there. I hope they stay put and don't get put on a flight.,1
5.69E+17,"@united when I read it say ' in some cases' can you please define this for me, when for example would it not be the case?",1
5.70E+17,@united äó_ But friendly efficient air attendants in coach #UA992 http://t.co/49pV3KcHNR,1
5.70E+17,@SouthwestAir How's Dallas incoming looking? I'm scheduled to fly in at 10:30 and wondering if I'll be stuck in St. Louis instead.,1
5.68E+17,"@JetBlue shout out to the crew on flight 89 headed back to the big apple, they kept my glass half full the whole flight! #jetbluejfk",1
5.70E+17,@USAirways what's the deal with the flight computer network?,-1
5.70E+17,@jetblue you just directed me to your mobile website. Where is the direct link? GET IT TOGETHER!,-1
5.70E+17,@united I honestly couldn't tell you. All I know is that originally we were going to have it brought in from the concourse,1
5.68E+17,@JetBlue please provide me your direct email for me to explain.,1
5.70E+17,@JetBlue try harder. Take a winners attitude to your work.,-1
5.70E+17,"@AmericanAir @karabuxthomps Yeah, I have a lot of questions, number one: how dare you",-1
5.70E+17,@JetBlue @MrJustyn I heard companies were studying popular lingo for advertising but this is just depressing and embarrassing.,-1
5.70E+17,@AmericanAir the app doesn't allow Canadian address. I used the mobile Canadian site and it will not let you select a passenger.,1
5.70E+17,@united it was credit from my last trip that never came in the mail!,1
5.69E+17,@usairways Need to change div miles ticket after travel started due to weather advisory. Told not possible unless flight cancelled. AnyHelp?,1
5.69E+17,@SouthwestAir I'm flying in a couple of weeks and I need my ticket changed from my maiden name to my married name. Pls help!,1
5.70E+17,@USAirways @PHLAirport always nice when a customer service manager threatens customers standing in his understaffed lines for the last hour,-1
5.68E+17,@united @ShulemStern @gg8929 Raise a dispute with your cc provider and they will hopefully clear it for you.,1
5.70E+17,"@united its been five days, I'm just asking you to clarify your policy on car seats. I don't want to have to take this higher up.",-1
5.70E+17,@USAirways But good luck getting there! Not cool.,-1
5.68E+17,@SouthwestAir Nashville airport has runways open. It appears southwest is only airline canceling flights. Is this likely to change?,-1
5.70E+17,@united Will definitely do so. Sending a DM now.,1
5.68E+17,@USAirways thanks for reaching out to me.  My Gold Div no. 2k424j0. My Flights were changed under Confirmation # DNX58V.,1
5.68E+17,@USAirways yes travel is complete flight 5095 from CLT to CAK Feb 18,1
5.68E+17,@JetBlue please get service started at @triflight and offer good routes lile florida upstate ny vegas etc,-1
5.68E+17,"@united this is in ur Hemispheres magazine. I'm open to what will u do to make the ""flight more pleasant."" http://t.co/VrQDpqEPFW",-1
5.70E+17,"@united why doesn't my daughter, booked with my gold member miles, get on the upgrade list for her flight tomorrow?",-1
5.70E+17,"@AmericanAir Hello ! I cannot register for my tomorrow flight from Paris to Las Vegas ""This feature is currently unavailable"" appears ?",1
5.69E+17,@JetBlue minutes to spare.,1
5.70E+17,"@AmericanAir my flight from VCP to JFK was delayed and now it has been canceled, what should i do?",1
5.68E+17,@USAirways I ask for reimbursement maybe miles added to my account for my inconvenience and for the money that I had to spend,-1
5.70E+17,@AmericanAir I had booked online but unable to cancel online. But finally got thru.,1
